"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 05 07:48:40 SAMT 2025","Mon May 05 07:48:48 SAMT 2025","7948","","ordertests.OrderCreationTest","","ordertests.OrderCreationTest","createOrderWithAuthUserWithIngredients","Создание заказа с авторизацией и c ингредиентами","Проверка создания заказа авторизованным пользователем с ингредиентами"
"passed","Mon May 05 07:49:10 SAMT 2025","Mon May 05 07:49:22 SAMT 2025","12281","","usertests.UserDataChangeTest","","usertests.UserDataChangeTest","shouldNotUpdatePasswordWithoutAuth","Изменение пароля без авторизации","Проверяет, что изменение пароля без авторизации возвращает ошибку 401"
"failed","Mon May 05 07:48:38 SAMT 2025","Mon May 05 07:48:39 SAMT 2025","203","","ordertests.OrderCreationTest","","ordertests.OrderCreationTest","createOrderWithoutAuthUserWithoutIngredients","Создание заказа без авторизации и без ингредиентов","Проверка создания заказа без авторизации пользователя и без ингредиентов"
"passed","Mon May 05 07:49:22 SAMT 2025","Mon May 05 07:49:40 SAMT 2025","18241","","usertests.UserDataChangeTest","","usertests.UserDataChangeTest","shouldUpdateUserEmail","Обновление email пользователя","Проверяет успешное изменение email авторизованного пользователя"
"passed","Mon May 05 07:49:45 SAMT 2025","Mon May 05 07:49:46 SAMT 2025","632","","usertests.UserLoginBaseTest","","usertests.UserLoginBaseTest","shouldAuthorizeUserSuccessfully","Успешная авторизация пользователя","Проверка, что пользователь может успешно авторизоваться с корректными данными"
"passed","Mon May 05 07:48:59 SAMT 2025","Mon May 05 07:49:02 SAMT 2025","3398","","usertests.UserDataChangeTest","","usertests.UserDataChangeTest","shouldNotUpdateEmailWithoutAuth","Изменение email без авторизации","Проверяет, что изменение email без авторизации возвращает ошибку 401"
"passed","Mon May 05 07:48:57 SAMT 2025","Mon May 05 07:48:59 SAMT 2025","2015","","usertests.UserDataChangeTest","","usertests.UserDataChangeTest","shouldUpdateUserPassword","Обновление пароля пользователя","Проверяет успешное изменение пароля авторизованного пользователя"
"passed","Mon May 05 07:48:39 SAMT 2025","Mon May 05 07:48:40 SAMT 2025","1816","","ordertests.OrderCreationTest","","ordertests.OrderCreationTest","createOrderWithAuthUserWithoutIngredients","Создание заказа с авторизацией без ингредиентов","Проверка создания заказа авторизованным пользователем без ингредиентов"
"passed","Mon May 05 07:48:37 SAMT 2025","Mon May 05 07:48:38 SAMT 2025","1861","","ordertests.OrderCreationTest","","ordertests.OrderCreationTest","createOrderWithInvalidHashIngredientAuthUser","Создание заказа с авторизацией и с неверным хешем ингредиентов","Проверка создания заказа с авторизацией и с неверным хешем ингредиентов"
"passed","Mon May 05 07:48:49 SAMT 2025","Mon May 05 07:48:55 SAMT 2025","6469","","ordertests.OrderGetTest","","ordertests.OrderGetTest","authUserGetOrder","Авторизованный пользователь получает заказ","Проверка получение заказа авторизованным пользователем"
"passed","Mon May 05 07:49:40 SAMT 2025","Mon May 05 07:49:44 SAMT 2025","3915","","usertests.UserDataChangeTest","","usertests.UserDataChangeTest","shouldNotUpdateNameWithoutAuth","Изменение имени без авторизации","Проверяет, что изменение имени без авторизации возвращает ошибку 401"
"passed","Mon May 05 07:49:44 SAMT 2025","Mon May 05 07:49:45 SAMT 2025","598","","usertests.UserLoginBaseTest","","usertests.UserLoginBaseTest","shouldNotAuthorizeWithInvalidEmail","Авторизация с некорректным email","Проверка, что авторизация с неверным email возвращает ошибку 401"
"passed","Mon May 05 07:48:56 SAMT 2025","Mon May 05 07:48:57 SAMT 2025","321","","usertests.UserCreationTest","","usertests.UserCreationTest","shouldCreateUserSuccessfully","Создание нового пользователя","Тест проверяет успешное создание пользователя с корректными данными"
"passed","Mon May 05 07:49:45 SAMT 2025","Mon May 05 07:49:45 SAMT 2025","659","","usertests.UserLoginBaseTest","","usertests.UserLoginBaseTest","shouldNotAuthorizeWithInvalidPassword","Авторизация с некорректным паролем","Проверка, что авторизация с неверным паролем возвращает ошибку 401"
"passed","Mon May 05 07:48:55 SAMT 2025","Mon May 05 07:48:55 SAMT 2025","223","","usertests.UserCreationTest","","usertests.UserCreationTest","shouldNotCreateUserWithEmptyEmail","Создание пользователя с пустым email","Тест проверяет, что создание пользователя с пустым email возвращает ошибку 403"
"failed","Mon May 05 07:48:36 SAMT 2025","Mon May 05 07:48:37 SAMT 2025","218","","ordertests.OrderCreationTest","","ordertests.OrderCreationTest","createOrderWithInvalidHashIngredientWithoutAuthUser","Создание заказа без авторизации и с неверным хешем ингредиентов","Проверка создания заказа без авторизации и с неверным хешем ингредиентов"
"passed","Mon May 05 07:48:55 SAMT 2025","Mon May 05 07:48:56 SAMT 2025","391","","usertests.UserCreationTest","","usertests.UserCreationTest","shouldNotCreateUserWithEmptyPassword","Создание пользователя с пустым паролем","Тест проверяет, что создание пользователя с пустым паролем возвращает ошибку 403"
"passed","Mon May 05 07:48:48 SAMT 2025","Mon May 05 07:48:49 SAMT 2025","259","","ordertests.OrderGetTest","","ordertests.OrderGetTest","notAuthUserGetOrder","Не авторизованный пользователь получает заказ","Проверка получение заказа не авторизованным пользователем"
"passed","Mon May 05 07:48:56 SAMT 2025","Mon May 05 07:48:56 SAMT 2025","594","","usertests.UserCreationTest","","usertests.UserCreationTest","shouldNotAllowDuplicateUserCreation","Создание пользователя с уже зарегистрированным email","Тест проверяет, что невозможно создать пользователя с уже существующим email, ответ 403"
"failed","Mon May 05 07:48:33 SAMT 2025","Mon May 05 07:48:36 SAMT 2025","3170","","ordertests.OrderCreationTest","","ordertests.OrderCreationTest","createOrderWithoutAuthUserWithIngredients","Создание заказа без авторизации и c ингредиентами","Проверка создания заказа без авторизации пользователя с ингредиентами"
"passed","Mon May 05 07:49:02 SAMT 2025","Mon May 05 07:49:10 SAMT 2025","7471","","usertests.UserDataChangeTest","","usertests.UserDataChangeTest","shouldUpdateUserName","Обновление имени пользователя","Проверяет успешное изменение имени авторизованного пользователя"
